topic,Premise,Conclusion,Validity,Validity-Confidence,Novelty,Novelty-Confidence
Trying terrorist suspects in civilian courts,"our federal courts have waged an admirable war of their own against terrorists, whether the judges call it that or not. Our civilian courts have tried 195 cases of terrorism since 2001, according to Justice Department figures, and 91percent of them have resulted in convictions.",US courts have successfully fought terrorism,0,defeasible,-1,very confident
Trying terrorist suspects in civilian courts,"our federal courts have waged an admirable war of their own against terrorists, whether the judges call it that or not. Our civilian courts have tried 195 cases of terrorism since 2001, according to Justice Department figures, and 91percent of them have resulted in convictions.",US courts have successfully tried many terrorists,1,very confident,-1,very confident
Trying terrorist suspects in civilian courts,"our federal courts have waged an admirable war of their own against terrorists, whether the judges call it that or not. Our civilian courts have tried 195 cases of terrorism since 2001, according to Justice Department figures, and 91percent of them have resulted in convictions.",Multi-party systems do not fairly implement the wishes of the electorate:,-1,very confident,-1,very confident
Trying terrorist suspects in civilian courts,"New York Mayor Rudy Giuliani praised the trial of the 1993 bombing of the World Trade Center, saying, ""New Yorkers won’t meet violence with violence, but with a far greater weapon -- the law.",Turkey's membership would economically benefit the EU,-1,very confident,-1,very confident
Trying terrorist suspects in civilian courts,"Rudy Giuliani told reporters about the 2006 civilian trial of ""20th hijacker"": ""I was in awe of our system. It does demonstrate that we can give people a fair trial, that we are exactly what we say we are. We are a nation of law.... I think he's going to be a symbol of American justice.",The AUMF authorizes use of military force,-1,confident,-1,majority
Trying terrorist suspects in civilian courts,"Rudy Giuliani told reporters about the 2006 civilian trial of ""20th hijacker"": ""I was in awe of our system. It does demonstrate that we can give people a fair trial, that we are exactly what we say we are. We are a nation of law.... I think he's going to be a symbol of American justice.",Terror subjects are due a fair trial in civilian courts.,1,very confident,1,very confident
Trying terrorist suspects in civilian courts,"Rudy Giuliani told reporters about the 2006 civilian trial of ""20th hijacker"": ""I was in awe of our system. It does demonstrate that we can give people a fair trial, that we are exactly what we say we are. We are a nation of law.... I think he's going to be a symbol of American justice.",Guantanamo is a shining example of American justice,-1,confident,-1,confident
Trying terrorist suspects in civilian courts,"Rudy Giuliani told reporters about the 2006 civilian trial of ""20th hijacker"": ""I was in awe of our system. It does demonstrate that we can give people a fair trial, that we are exactly what we say we are. We are a nation of law.... I think he's going to be a symbol of American justice.",Trying terrorist suspects in civilian courts shows American justice,1,very confident,1,very confident
Trying terrorist suspects in civilian courts,"Rudy Giuliani told reporters about the 2006 civilian trial of ""20th hijacker"": ""I was in awe of our system. It does demonstrate that we can give people a fair trial, that we are exactly what we say we are. We are a nation of law.... I think he's going to be a symbol of American justice.",Trying terrorist suspects in civilian courts demonstrates American justice,1,confident,1,very confident
Trying terrorist suspects in civilian courts,"there is no longer much difference between a military and civilian trial. After the U.S. Supreme Court weighed in on the shortcomings of George W. Bush’s tribunals, Congress and the Obama administration granted more rights to the accused."" Therefore, trying terrorists in civilian courts is little different, and not more risky.",Terrorist suspects can be tried in civilian courts,1,majority,-1,very confident
Trying terrorist suspects in civilian courts,"there is no longer much difference between a military and civilian trial. After the U.S. Supreme Court weighed in on the shortcomings of George W. Bush’s tribunals, Congress and the Obama administration granted more rights to the accused."" Therefore, trying terrorists in civilian courts is little different, and not more risky.","Terrorists can be tried in civilian courts, not in military",-1,very confident,-1,majority
Trying terrorist suspects in civilian courts,"there is no longer much difference between a military and civilian trial. After the U.S. Supreme Court weighed in on the shortcomings of George W. Bush’s tribunals, Congress and the Obama administration granted more rights to the accused."" Therefore, trying terrorists in civilian courts is little different, and not more risky.","Terrorists can be tried in civilian courts, unlike military courts",-1,very confident,-1,majority
Trying terrorist suspects in civilian courts,"there is no longer much difference between a military and civilian trial. After the U.S. Supreme Court weighed in on the shortcomings of George W. Bush’s tribunals, Congress and the Obama administration granted more rights to the accused."" Therefore, trying terrorists in civilian courts is little different, and not more risky.",There is little difference between civilian courts and military tribunals.,1,very confident,-1,very confident
Trying terrorist suspects in civilian courts,"there is no longer much difference between a military and civilian trial. After the U.S. Supreme Court weighed in on the shortcomings of George W. Bush’s tribunals, Congress and the Obama administration granted more rights to the accused."" Therefore, trying terrorists in civilian courts is little different, and not more risky.",New technology will never eliminate offshore oil leaks/spills,-1,very confident,-1,very confident
Trying terrorist suspects in civilian courts,"The trials are wholly unnecessary; the Administration is holding some enemy combatants without trial and trying others through the military commission system, thus conceding that it has alternatives. As a result, any risks, expenses or other downsides of the trials are being undertaken solely for the purpose of empty symbolism.",Alternatives to trialing terrorists are available,1,very confident,-1,very confident
Trying terrorist suspects in civilian courts,"The trials are wholly unnecessary; the Administration is holding some enemy combatants without trial and trying others through the military commission system, thus conceding that it has alternatives. As a result, any risks, expenses or other downsides of the trials are being undertaken solely for the purpose of empty symbolism.",Trials are a waste; civilian trials unnecessary,1,majority,1,majority
Trying terrorist suspects in civilian courts,"The trials are wholly unnecessary; the Administration is holding some enemy combatants without trial and trying others through the military commission system, thus conceding that it has alternatives. As a result, any risks, expenses or other downsides of the trials are being undertaken solely for the purpose of empty symbolism.",The trials are merely for symbolic purposes,1,very confident,-1,very confident
Trying terrorist suspects in civilian courts,"The trials are wholly unnecessary; the Administration is holding some enemy combatants without trial and trying others through the military commission system, thus conceding that it has alternatives. As a result, any risks, expenses or other downsides of the trials are being undertaken solely for the purpose of empty symbolism.",Military tribunals make trying terrorists in court unnecessary.,1,very confident,1,majority
Trying terrorist suspects in civilian courts,"The trials are wholly unnecessary; the Administration is holding some enemy combatants without trial and trying others through the military commission system, thus conceding that it has alternatives. As a result, any risks, expenses or other downsides of the trials are being undertaken solely for the purpose of empty symbolism.","Once the US leaves, terrorists will launch a massive, violent campaign.",-1,very confident,-1,very confident
Trying terrorist suspects in civilian courts,"New York Mayor Rudy Giuliani praised the trial of the 1993 bombing of the World Trade Center, saying, ""New Yorkers won’t meet violence with violence, but with a far greater weapon -- the law.",Law is more effective weapon against terrorists,1,very confident,1,majority
Trying terrorist suspects in civilian courts,"New York Mayor Rudy Giuliani praised the trial of the 1993 bombing of the World Trade Center, saying, ""New Yorkers won’t meet violence with violence, but with a far greater weapon -- the law.",Trying terrorist suspects in civil courts is better than violence,1,very confident,1,very confident
Trying terrorist suspects in civilian courts,"New York Mayor Rudy Giuliani praised the trial of the 1993 bombing of the World Trade Center, saying, ""New Yorkers won’t meet violence with violence, but with a far greater weapon -- the law.",The law is a far better weapon than violence,1,very confident,-1,majority
Trying terrorist suspects in civilian courts,"New York Mayor Rudy Giuliani praised the trial of the 1993 bombing of the World Trade Center, saying, ""New Yorkers won’t meet violence with violence, but with a far greater weapon -- the law.",Terrorists should be met with the weapon of the law.,1,majority,-1,majority
Trying terrorist suspects in civilian courts,"Apart from the fact that any such trial will be a security nightmare and a terror threat to New York -- what better propaganda-by-deed than blowing up the entire courtroom, making KSM a martyr and making the judge, jury and spectators into fresh victims? -- it will endanger U.S. security.",Civil trials endanger national security,-1,majority,-1,majority
Trying terrorist suspects in civilian courts,"Apart from the fact that any such trial will be a security nightmare and a terror threat to New York -- what better propaganda-by-deed than blowing up the entire courtroom, making KSM a martyr and making the judge, jury and spectators into fresh victims? -- it will endanger U.S. security.",Trying terrorist suspects in civilian courts undermines US security,1,very confident,1,very confident
Trying terrorist suspects in civilian courts,"Apart from the fact that any such trial will be a security nightmare and a terror threat to New York -- what better propaganda-by-deed than blowing up the entire courtroom, making KSM a martyr and making the judge, jury and spectators into fresh victims? -- it will endanger U.S. security.",A terrorism trial in New York would endanger US security,1,very confident,-1,very confident
Trying terrorist suspects in civilian courts,"Apart from the fact that any such trial will be a security nightmare and a terror threat to New York -- what better propaganda-by-deed than blowing up the entire courtroom, making KSM a martyr and making the judge, jury and spectators into fresh victims? -- it will endanger U.S. security.",Trying terrorists in US invites a terrorist attack,1,very confident,1,very confident
Trying terrorist suspects in civilian courts,"Brutal interrogations. Holder and his team plan to prevent the 9/11 prosecution from morphing into a trial of the CIA for torture, Newsweek has reported, by avoiding or minimizing reliance on admissions derived (or arguably derived) from coercive interrogations. These admissions may include Mohammed's statements during a 2007 Guantanamo hearing that he personally beheaded Wall Street Journal reporter Daniel Pearl and ""was responsible for the 9/11 operation, from A to Z.",Terrorists should be tried under harsh conditions,0,defeasible,0,defeasible
Trying terrorist suspects in civilian courts,"Brutal interrogations. Holder and his team plan to prevent the 9/11 prosecution from morphing into a trial of the CIA for torture, Newsweek has reported, by avoiding or minimizing reliance on admissions derived (or arguably derived) from coercive interrogations. These admissions may include Mohammed's statements during a 2007 Guantanamo hearing that he personally beheaded Wall Street Journal reporter Daniel Pearl and ""was responsible for the 9/11 operation, from A to Z.",Brutal interrogations avoid CIA torture,-1,very confident,-1,confident
Trying terrorist suspects in civilian courts,"Brutal interrogations. Holder and his team plan to prevent the 9/11 prosecution from morphing into a trial of the CIA for torture, Newsweek has reported, by avoiding or minimizing reliance on admissions derived (or arguably derived) from coercive interrogations. These admissions may include Mohammed's statements during a 2007 Guantanamo hearing that he personally beheaded Wall Street Journal reporter Daniel Pearl and ""was responsible for the 9/11 operation, from A to Z.",Enhanced interrogations are not evidence of torture,-1,confident,-1,confident
Trying terrorist suspects in civilian courts,"Brutal interrogations. Holder and his team plan to prevent the 9/11 prosecution from morphing into a trial of the CIA for torture, Newsweek has reported, by avoiding or minimizing reliance on admissions derived (or arguably derived) from coercive interrogations. These admissions may include Mohammed's statements during a 2007 Guantanamo hearing that he personally beheaded Wall Street Journal reporter Daniel Pearl and ""was responsible for the 9/11 operation, from A to Z.",Civilian trials avoid using evidence from coercive interrogations.,-1,majority,-1,majority
Trying terrorist suspects in civilian courts,"In deciding to use federal court, the attorney general probably considered the record of the military commission system that was established in November 2001. This system secured three convictions in eight years. The only person who had a full commission trial, Osama bin Laden's driver, received five additional months in prison, resulting in a sentence that was shorter than he probably would have received from a federal judge.",Military tribunals have performed poorly versus civilian courts,-1,majority,-1,majority
Trying terrorist suspects in civilian courts,"In deciding to use federal court, the attorney general probably considered the record of the military commission system that was established in November 2001. This system secured three convictions in eight years. The only person who had a full commission trial, Osama bin Laden's driver, received five additional months in prison, resulting in a sentence that was shorter than he probably would have received from a federal judge.",Military commissions have a strong record,-1,confident,1,majority
Trying terrorist suspects in civilian courts,"In deciding to use federal court, the attorney general probably considered the record of the military commission system that was established in November 2001. This system secured three convictions in eight years. The only person who had a full commission trial, Osama bin Laden's driver, received five additional months in prison, resulting in a sentence that was shorter than he probably would have received from a federal judge.","Terrorists have been tried in civilian courts before, should be tried",-1,very confident,-1,majority
Trying terrorist suspects in civilian courts,"In deciding to use federal court, the attorney general probably considered the record of the military commission system that was established in November 2001. This system secured three convictions in eight years. The only person who had a full commission trial, Osama bin Laden's driver, received five additional months in prison, resulting in a sentence that was shorter than he probably would have received from a federal judge.",Military commissions are more effective than civilian courts,-1,majority,1,majority
Trying terrorist suspects in civilian courts,"Former New York Mayor Rudy Giuliani commented that he felt the decision to try terror suspects in New York: ""seems to be an overconcern with the rights of terrorists and a lack of concern for the rights of the public.",There is no wind on the moon.,-1,very confident,-1,very confident
Trying terrorist suspects in civilian courts,"Former New York Mayor Rudy Giuliani commented that he felt the decision to try terror suspects in New York: ""seems to be an overconcern with the rights of terrorists and a lack of concern for the rights of the public.",Civilian trials show more concern for terrorists than public.,1,very confident,-1,majority
Trying terrorist suspects in civilian courts,"Former New York Mayor Rudy Giuliani commented that he felt the decision to try terror suspects in New York: ""seems to be an overconcern with the rights of terrorists and a lack of concern for the rights of the public.",Detainees show over-concern for rights of terrorists,-1,majority,1,majority
Trying terrorist suspects in civilian courts,"Former New York Mayor Rudy Giuliani commented that he felt the decision to try terror suspects in New York: ""seems to be an overconcern with the rights of terrorists and a lack of concern for the rights of the public.",Terrorists are not being tried in civilian courts,-1,very confident,-1,very confident
Trying terrorist suspects in civilian courts,"Former New York Mayor Rudy Giuliani commented that he felt the decision to try terror suspects in New York: ""seems to be an overconcern with the rights of terrorists and a lack of concern for the rights of the public.",Terror suspects should be tried in civilian courts,-1,majority,-1,majority
Trying terrorist suspects in civilian courts,"Terrorists are a certain kind of villan. They attempt to kill massive numbers of civilians in a war against civilization and society. They are not like common criminals, so should not be treated as such, with rights in a civilian trial.",Republican energy policies favor more offshore drilling and renewables,-1,very confident,-1,very confident
Trying terrorist suspects in civilian courts,"Terrorists are a certain kind of villan. They attempt to kill massive numbers of civilians in a war against civilization and society. They are not like common criminals, so should not be treated as such, with rights in a civilian trial.",Terrorists should not be treated as common criminals.,1,very confident,-1,majority
Trying terrorist suspects in civilian courts,"Apart from the fact that any such trial will be a security nightmare and a terror threat to New York -- what better propaganda-by-deed than blowing up the entire courtroom, making KSM a martyr and making the judge, jury and spectators into fresh victims? -- it will endanger U.S. security.","The Pakistani government should tolerate a unilateral US capture of Bin Laden, if the intelligence is fleeting.",-1,very confident,-1,very confident
Trying terrorist suspects in civilian courts,"Terrorists are a certain kind of villan. They attempt to kill massive numbers of civilians in a war against civilization and society. They are not like common criminals, so should not be treated as such, with rights in a civilian trial.",Terrorists are not criminals with rights to trial,-1,very confident,-1,very confident
Trying terrorist suspects in civilian courts,"Terrorists are a certain kind of villan. They attempt to kill massive numbers of civilians in a war against civilization and society. They are not like common criminals, so should not be treated as such, with rights in a civilian trial.",Terrorists are a special kind of criminal; they deserve rights.,-1,very confident,-1,majority
Trying terrorist suspects in civilian courts,"a federal court trial will come sooner and be speedier, since the new military rules have yet to be completed and tested in the real world.",Trying terrorists in civilian courts faster and easier,1,majority,0,defeasible
Trying terrorist suspects in civilian courts,"a federal court trial will come sooner and be speedier, since the new military rules have yet to be completed and tested in the real world.",A military trial will be quicker and easier,-1,very confident,-1,majority
Trying terrorist suspects in civilian courts,"a federal court trial will come sooner and be speedier, since the new military rules have yet to be completed and tested in the real world.",Civilian courts are faster than military tribunals.,1,majority,1,majority
Trying terrorist suspects in civilian courts,"a federal court trial will come sooner and be speedier, since the new military rules have yet to be completed and tested in the real world.",New Mexico Governor Bill Richardson,-1,very confident,-1,very confident
Trying terrorist suspects in civilian courts,"Sen. John McCain, R-Ariz., compared the decision to try accused 9/11 mastermind Khalid Sheikh Mohammed and other terrorists in New York City to trying Nazi war criminal Hermann Goering in San Francisco. ""It's ridiculous. These are war criminals and terrorists and they should not be privy to regular courtroom procedures.",Justice Department Defense 1/27/06,-1,very confident,-1,very confident
Trying terrorist suspects in civilian courts,"Sen. John McCain, R-Ariz., compared the decision to try accused 9/11 mastermind Khalid Sheikh Mohammed and other terrorists in New York City to trying Nazi war criminal Hermann Goering in San Francisco. ""It's ridiculous. These are war criminals and terrorists and they should not be privy to regular courtroom procedures.",Terrorists should not be given privileges of civilian courts,1,very confident,-1,majority
Trying terrorist suspects in civilian courts,"Sen. John McCain, R-Ariz., compared the decision to try accused 9/11 mastermind Khalid Sheikh Mohammed and other terrorists in New York City to trying Nazi war criminal Hermann Goering in San Francisco. ""It's ridiculous. These are war criminals and terrorists and they should not be privy to regular courtroom procedures.",Terrorists should not be tried under normal procedures,1,very confident,1,majority
Trying terrorist suspects in civilian courts,"Sen. John McCain, R-Ariz., compared the decision to try accused 9/11 mastermind Khalid Sheikh Mohammed and other terrorists in New York City to trying Nazi war criminal Hermann Goering in San Francisco. ""It's ridiculous. These are war criminals and terrorists and they should not be privy to regular courtroom procedures.",Terrorists should not be tried in civilian courts,1,very confident,-1,very confident
Trying terrorist suspects in civilian courts,"Sen. John McCain, R-Ariz., compared the decision to try accused 9/11 mastermind Khalid Sheikh Mohammed and other terrorists in New York City to trying Nazi war criminal Hermann Goering in San Francisco. ""It's ridiculous. These are war criminals and terrorists and they should not be privy to regular courtroom procedures.",Terrorist suspects should not be tried in civilian courts,1,very confident,-1,very confident
Trying terrorist suspects in civilian courts,"Brutal interrogations. Holder and his team plan to prevent the 9/11 prosecution from morphing into a trial of the CIA for torture, Newsweek has reported, by avoiding or minimizing reliance on admissions derived (or arguably derived) from coercive interrogations. These admissions may include Mohammed's statements during a 2007 Guantanamo hearing that he personally beheaded Wall Street Journal reporter Daniel Pearl and ""was responsible for the 9/11 operation, from A to Z.",There is little difference between a military and civilian trial.,-1,very confident,-1,confident
Trying terrorist suspects in civilian courts,"Terrorists are a certain kind of villan. They attempt to kill massive numbers of civilians in a war against civilization and society. They are not like common criminals, so should not be treated as such, with rights in a civilian trial.",Terrorists are not like ordinary criminals.,1,very confident,-1,very confident
Trying terrorist suspects in civilian courts,"In deciding to use federal court, the attorney general probably considered the record of the military commission system that was established in November 2001. This system secured three convictions in eight years. The only person who had a full commission trial, Osama bin Laden's driver, received five additional months in prison, resulting in a sentence that was shorter than he probably would have received from a federal judge.",Diffuse wave energy requires many wave generators; high impact,-1,very confident,-1,very confident
Trying terrorist suspects in civilian courts,"The detainees, as they have shown in the past, are especially dangerous to guards, a problem that's more acute when in transit or in civilian prisons than in a facility like Guantanamo that's designed to house them.",Terrorists can be dangerous to guards,1,very confident,1,majority
Trying terrorist suspects in civilian courts,"The detainees, as they have shown in the past, are especially dangerous to guards, a problem that's more acute when in transit or in civilian prisons than in a facility like Guantanamo that's designed to house them.",Guantanamo detainees are dangerous to guards,-1,majority,-1,very confident
Trying terrorist suspects in civilian courts,"The detainees, as they have shown in the past, are especially dangerous to guards, a problem that's more acute when in transit or in civilian prisons than in a facility like Guantanamo that's designed to house them.",Detainees are a threat to guards and prisoners,0,defeasible,-1,very confident
Trying terrorist suspects in civilian courts,"The jobs created to handle the trying and imprisoning of terrorists are an attractive component of bringing them to US territory, particularly during economic difficulties. This is demonstrate in Illinois, where Senator Dick Durbin (D) has been seeking the opportunity for precisely this reason - to create jobs and possibly even win greater voter support.",Underground storage with potential of future use is bad idea.,-1,very confident,-1,very confident
Trying terrorist suspects in civilian courts,"The jobs created to handle the trying and imprisoning of terrorists are an attractive component of bringing them to US territory, particularly during economic difficulties. This is demonstrate in Illinois, where Senator Dick Durbin (D) has been seeking the opportunity for precisely this reason - to create jobs and possibly even win greater voter support.",Trying and imprisoning terrorists will be popular where it creates jobs.,1,majority,-1,majority
Trying terrorist suspects in civilian courts,"The jobs created to handle the trying and imprisoning of terrorists are an attractive component of bringing them to US territory, particularly during economic difficulties. This is demonstrate in Illinois, where Senator Dick Durbin (D) has been seeking the opportunity for precisely this reason - to create jobs and possibly even win greater voter support.",Terrorist detention creates jobs in US economy,1,very confident,1,majority
Trying terrorist suspects in civilian courts,"The jobs created to handle the trying and imprisoning of terrorists are an attractive component of bringing them to US territory, particularly during economic difficulties. This is demonstrate in Illinois, where Senator Dick Durbin (D) has been seeking the opportunity for precisely this reason - to create jobs and possibly even win greater voter support.",Terrorists can be lured to US by the prospect of jobs,-1,very confident,-1,majority
Trying terrorist suspects in civilian courts,"The jobs created to handle the trying and imprisoning of terrorists are an attractive component of bringing them to US territory, particularly during economic difficulties. This is demonstrate in Illinois, where Senator Dick Durbin (D) has been seeking the opportunity for precisely this reason - to create jobs and possibly even win greater voter support.",Trying terrorists will create jobs.,1,very confident,-1,very confident
Trying terrorist suspects in civilian courts,"What do we hope to accomplish by trying these mass murderers on U.S. soil? Will it produce more troops from our NATO allies to finish the job in Afghanistan? Not likely. When the world sees how good and fair we are, will it love America more and will terrorists decide to kill us less? Only in the world of make-believe inhabited by American Civil Liberties Union lawyers.",Civil courts would expose only 8-year-old intelligence,-1,very confident,-1,majority
Trying terrorist suspects in civilian courts,"What do we hope to accomplish by trying these mass murderers on U.S. soil? Will it produce more troops from our NATO allies to finish the job in Afghanistan? Not likely. When the world sees how good and fair we are, will it love America more and will terrorists decide to kill us less? Only in the world of make-believe inhabited by American Civil Liberties Union lawyers.",Trying terrorists in US courts will not help US achieve anything.,1,very confident,1,majority
Trying terrorist suspects in civilian courts,"What do we hope to accomplish by trying these mass murderers on U.S. soil? Will it produce more troops from our NATO allies to finish the job in Afghanistan? Not likely. When the world sees how good and fair we are, will it love America more and will terrorists decide to kill us less? Only in the world of make-believe inhabited by American Civil Liberties Union lawyers.",Terrorists will not be motivated to return to America,-1,very confident,-1,majority
Trying terrorist suspects in civilian courts,"What do we hope to accomplish by trying these mass murderers on U.S. soil? Will it produce more troops from our NATO allies to finish the job in Afghanistan? Not likely. When the world sees how good and fair we are, will it love America more and will terrorists decide to kill us less? Only in the world of make-believe inhabited by American Civil Liberties Union lawyers.",Terrorists will not be tried in civilian courts.,-1,very confident,-1,majority
Trying terrorist suspects in civilian courts,"What do we hope to accomplish by trying these mass murderers on U.S. soil? Will it produce more troops from our NATO allies to finish the job in Afghanistan? Not likely. When the world sees how good and fair we are, will it love America more and will terrorists decide to kill us less? Only in the world of make-believe inhabited by American Civil Liberties Union lawyers.",Trialing terrorists in civilian courts will only breed more Americans,-1,very confident,-1,majority
Trying terrorist suspects in civilian courts,"a federal court trial will come sooner and be speedier, since the new military rules have yet to be completed and tested in the real world.",Trying terrorists in military courts is faster,-1,very confident,-1,majority
Trying terrorist suspects in civilian courts,"Which brings us to the idea that allowing Mr. Mohammed to take the stand will give him a soapbox. The truth is, if the trial provides a propaganda platform for anybody, it will be for our side. [...] First, federal courts do not permit TV cameras in the courtroom, so the opportunity for “real time” jihadist propagandizing won’t exist.",There will be no TV cameras in trials of terror suspects.,1,majority,-1,very confident
Trying terrorist suspects in civilian courts,"The detainees, as they have shown in the past, are especially dangerous to guards, a problem that's more acute when in transit or in civilian prisons than in a facility like Guantanamo that's designed to house them.",Terrorist suspects are particularly dangerous to guards,1,confident,0,defeasible
Trying terrorist suspects in civilian courts,"Which brings us to the idea that allowing Mr. Mohammed to take the stand will give him a soapbox. The truth is, if the trial provides a propaganda platform for anybody, it will be for our side. [...] First, federal courts do not permit TV cameras in the courtroom, so the opportunity for “real time” jihadist propagandizing won’t exist.",Wind turbines can cause land-use around base.,-1,very confident,-1,very confident
Trying terrorist suspects in civilian courts,"The detainees, as they have shown in the past, are especially dangerous to guards, a problem that's more acute when in transit or in civilian prisons than in a facility like Guantanamo that's designed to house them.",Video games keep people sitting in front of the TV and inactive.,-1,very confident,-1,very confident
Trying terrorist suspects in civilian courts,"In terrorist trials over the past 15 years, federal prosecutors and judges have gained extensive experience protecting intelligence sources and methods, limiting a defendant's ability to raise irrelevant issues and tightly controlling the courtroom.","Terrorists can be tried in civilian courts, not in intelligence trials",-1,very confident,-1,majority
Trying terrorist suspects in civilian courts,"In terrorist trials over the past 15 years, federal prosecutors and judges have gained extensive experience protecting intelligence sources and methods, limiting a defendant's ability to raise irrelevant issues and tightly controlling the courtroom.",Terrorist trials have demonstrated effectiveness of secret courts,-1,confident,0,defeasible
Trying terrorist suspects in civilian courts,"In terrorist trials over the past 15 years, federal prosecutors and judges have gained extensive experience protecting intelligence sources and methods, limiting a defendant's ability to raise irrelevant issues and tightly controlling the courtroom.",Trials in civilian courts have improved intelligence collection,-1,majority,-1,very confident
Trying terrorist suspects in civilian courts,"In terrorist trials over the past 15 years, federal prosecutors and judges have gained extensive experience protecting intelligence sources and methods, limiting a defendant's ability to raise irrelevant issues and tightly controlling the courtroom.",Two-state solution and peace is critical to regional stability.,-1,very confident,-1,very confident
Trying terrorist suspects in civilian courts,"Which brings us to the idea that allowing Mr. Mohammed to take the stand will give him a soapbox. The truth is, if the trial provides a propaganda platform for anybody, it will be for our side. [...] First, federal courts do not permit TV cameras in the courtroom, so the opportunity for “real time” jihadist propagandizing won’t exist.",Terrorist trials do not allow propaganda,1,majority,-1,majority
Trying terrorist suspects in civilian courts,"Which brings us to the idea that allowing Mr. Mohammed to take the stand will give him a soapbox. The truth is, if the trial provides a propaganda platform for anybody, it will be for our side. [...] First, federal courts do not permit TV cameras in the courtroom, so the opportunity for “real time” jihadist propagandizing won’t exist.","Terrorists will not have a soapbox in trials,",-1,majority,-1,very confident
Trying terrorist suspects in civilian courts,"Which brings us to the idea that allowing Mr. Mohammed to take the stand will give him a soapbox. The truth is, if the trial provides a propaganda platform for anybody, it will be for our side. [...] First, federal courts do not permit TV cameras in the courtroom, so the opportunity for “real time” jihadist propagandizing won’t exist.",Allowing Mohammed to testify will not give him a soapbox,-1,majority,-1,very confident
Trying terrorist suspects in civilian courts,"In terrorist trials over the past 15 years, federal prosecutors and judges have gained extensive experience protecting intelligence sources and methods, limiting a defendant's ability to raise irrelevant issues and tightly controlling the courtroom.",US courts have successfully tried terrorists and protected intelligence.,1,majority,-1,very confident
Turkey EU membership,"Europe is seen as a Christian club in many ways. This is, in most ways, contrary to modern principles of diversity, integration, and mutual understanding. If religious diversity is seen as a desirable objective in itself, Turkey's membership will help in its realization.",The NSA program's failure to procure judicial orders violated the fourth (right to privacy) and,-1,very confident,-1,very confident
Turkey EU membership,"In a few states there are actually large majorities against: by as much as 2: 1 in Austria, France and Germany. The EU should not force these strongly opposed states to accept Turkey's admission into the EU.",There are strong majorities against Turkish EU membership.,1,majority,-1,very confident
Turkey EU membership,This was when its candidacy was unanimously accepted after three decades of consistent Turkish requests.,The electoral college helps protect the interests of smaller states in the union,-1,confident,-1,confident
Turkey EU membership,This was when its candidacy was unanimously accepted after three decades of consistent Turkish requests.,Turkey was promised a chance to join the EU at the Helsinki summit (1999),-1,majority,-1,majority
Turkey EU membership,"in order to receive investment. Besides, Turkey is already a member of a customs union, thus does not need the EU membership.",Turkey does not need EU membership for investment.,1,very confident,-1,very confident
Turkey EU membership,This was when its candidacy was unanimously accepted after three decades of consistent Turkish requests.,Turkey's accession to the EU was historic,1,confident,1,confident
Turkey EU membership,"in order to receive investment. Besides, Turkey is already a member of a customs union, thus does not need the EU membership.",Turkey does not need EU membership.,1,very confident,-1,majority
Turkey EU membership,This was when its candidacy was unanimously accepted after three decades of consistent Turkish requests.,Turkey's candidacy for president in 2006 was unanimously accepted,-1,confident,-1,confident
Turkey EU membership,This was when its candidacy was unanimously accepted after three decades of consistent Turkish requests.,The EU approved the Turkish candidacy in 2004,-1,majority,-1,majority
Turkey EU membership,"In a few states there are actually large majorities against: by as much as 2: 1 in Austria, France and Germany. The EU should not force these strongly opposed states to accept Turkey's admission into the EU.",The EU should not force states to accept Turkey,1,very confident,-1,very confident
Turkey EU membership,"in order to receive investment. Besides, Turkey is already a member of a customs union, thus does not need the EU membership.",Twitter fosters appreciation for what you are doing now.,-1,very confident,-1,very confident
Turkey EU membership,"in order to receive investment. Besides, Turkey is already a member of a customs union, thus does not need the EU membership.",Turkey doesn't have to join the EU,1,very confident,-1,majority
Turkey EU membership,"in order to receive investment. Besides, Turkey is already a member of a customs union, thus does not need the EU membership.",EU membership is not necessary for Turkey to join,-1,very confident,-1,majority
Turkey EU membership,"In a few states there are actually large majorities against: by as much as 2: 1 in Austria, France and Germany. The EU should not force these strongly opposed states to accept Turkey's admission into the EU.",The EU should not force these states to join.,-1,very confident,-1,majority
Turkey EU membership,"Europe is seen as a Christian club in many ways. This is, in most ways, contrary to modern principles of diversity, integration, and mutual understanding. If religious diversity is seen as a desirable objective in itself, Turkey's membership will help in its realization.",Europe is a Christian club.,1,majority,-1,very confident
Turkey EU membership,"Europe is seen as a Christian club in many ways. This is, in most ways, contrary to modern principles of diversity, integration, and mutual understanding. If religious diversity is seen as a desirable objective in itself, Turkey's membership will help in its realization.",Turkey's EU admission would provide religious balance in Europe.,1,majority,-1,majority
Turkey EU membership,"In a few states there are actually large majorities against: by as much as 2: 1 in Austria, France and Germany. The EU should not force these strongly opposed states to accept Turkey's admission into the EU.",EU states strongly opposed to Turkey's admission should not be dragged along,1,very confident,1,very confident
Turkey EU membership,"Europe is seen as a Christian club in many ways. This is, in most ways, contrary to modern principles of diversity, integration, and mutual understanding. If religious diversity is seen as a desirable objective in itself, Turkey's membership will help in its realization.",Turkey's membership in the EU will promote religious diversity,1,very confident,1,majority
